t,v_closed,a_cmd_closed,throttle_closed,brake_closed,v_open
6.15,8.8852697132,0.126203315482,0.644413354926,0,7.91000711171
6.2,8.89063201294,0.120304785763,0.643718411924,0,7.9100071195
6.25,8.89571908765,0.114709003589,0.643061913213,0,7.91000712584
6.3,8.90054596143,0.109399442429,0.642441667916,0,7.91000713098
6.35,8.90512680842,0.104360510743,0.641855611992,0,7.91000713516
6.4,8.90947500177,0.0995774980543,0.641301800826,0,7.91000713856
6.45,8.91360315984,0.0950365241712,0.640778402268,0,7.91000714132
6.5,8.91752318967,0.0907244913605,0.640283690069,0,7.91000714357
6.55,8.9212463279,0.0866290393061,0.639816037711,0,7.91000714539
6.6,8.92478317937,0.0827385026882,0.639373912585,0,7.91000714687
6.65,8.92814375343,0.0790418712311,0.638955870525,0,7.91000714808
6.7,8.93133749812,0.0755287520732,0.638560550653,0,7.91000714906
6.75,8.93437333243,0.0721893343252,0.638186670524,0,7.91000714985
6.8,8.93725967665,0.0690143556872,0.637833021566,0,7.9100071505
6.85,8.9400044809,0.065995071005,0.637498464774,0,7.91000715103
6.9,8.94261525213,0.0631232226526,0.637181926664,0,7.91000715145
6.95,8.94509907942,0.0603910126329,0.636882395463,0,7.9100071518
7,8.94746265791,0.0577910762975,0.636598917518,0,7.91000715208
7.05,8.94971231128,0.0553164575903,0.63633059392,0,7.91000715231
7.1,8.95185401298,0.0529605857262,0.636076577319,0,7.9100071525
7.15,8.95389340616,0.0507172532207,0.635836068935,0,7.91000715265
7.2,8.95583582255,0.0485805951926,0.635608315734,0,7.91000715277
7.25,8.95768630012,0.0465450698633,0.635392607772,0,7.91000715287
7.3,8.95944959983,0.0446054401859,0.635188275699,0,7.91000715295
7.35,8.96113022133,0.0427567565354,0.634994688401,0,7.91000715302
7.4,8.96273241782,0.0409943403997,0.634811250788,0,7.91000715307
7.45,8.96426020999,0.0393137690127,0.634637401703,0,7.91000715312
7.5,8.96571739921,0.0377108608743,0.634472611957,0,7.91000715315
7.55,8.9671075799,0.0361816621064,0.634316382483,0,7.91000715318
7.6,8.96843415128,0.0347224335943,0.634168242588,0,7.9100071532
7.65,8.9697003283,0.033329638871,0.634027748317,0,7.91000715322
7.7,8.97090915209,0.0319999326974,0.633894480903,0,7.91000715324
7.75,8.97206349973,0.030730150301,0.633768045315,0,7.91000715325
7.8,8.97316609342,0.0295172972325,0.63364806889,0,7.91000715326
7.85,8.97421950927,0.0283585398068,0.633534200037,0,7.91000715327
7.9,8.97522618537,0.027251196091,0.633426107025,0,7.91000715328
7.95,8.97618842963,0.0261927274118,0.63332347684,0,7.91000715328
8,8.97710842696,0.0251807303478,0.633226014105,0,7.91000715329
8.05,8.9779882462,0.0242129291825,0.633133440065,0,7.91000715329
8.1,8.97882984656,0.0232871687881,0.633045491632,0,7.91000715329
8.15,8.97963508371,0.0224014079172,0.632961920483,0,7.91000715329
8.2,8.98040571557,0.0215537128776,0.632882492215,0,7.9100071533
8.25,8.98114340767,0.0207422515682,0.632806985543,0,7.9100071533
8.3,8.98184973831,0.0199652878557,0.63273519155,0,7.9100071533
8.35,8.98252620339,0.0192211762716,0.632666912976,0,7.9100071533
8.4,8.9831742209,0.0185083570111,0.632601963553,0,7.9100071533
8.45,8.98379513526,0.0178253512166,0.632540167375,0,7.9100071533
8.5,8.98439022134,0.0171707565295,0.632481358305,0,7.9100071533
8.55,8.98496068828,0.0165432428945,0.632425379419,0,7.9100071533
8.6,8.98550768309,0.0159415486018,0.632372082478,0,7.9100071533
8.65,8.98603229404,0.0153644765535,0.632321327436,0,7.9100071533
8.7,8.98653555387,0.0148108907414,0.632272981968,0,7.9100071533
8.75,8.9870184428,0.0142797129241,0.632226921038,0,7.9100071533
8.8,8.98748189137,0.0137699194914,0.632183026479,0,7.9100071533
8.85,8.98792678318,0.0132805385057,0.632141186604,0,7.9100071533
8.9,8.98835395735,0.0128106469101,0.632101295842,0,7.9100071533
8.95,8.98876421101,0.0123593678932,0.632063254385,0,7.9100071533
9,8.98915830145,0.0119258684027,0.632026967869,0,7.9100071533
9.05,8.98953694837,0.0115093567977,0.631992347061,0,7.9100071533
9.1,8.98990083579,0.0111090806328,0.631959307572,0,7.9100071533
9.15,8.99025061403,0.0107243245664,0.631927769582,0,7.9100071533
9.2,8.99058690147,0.0103544083856,0.631897657584,0,7.9100071533
